pair_id,cosine_sim,sim_bucket,ensemble_majority,ensemble_confidence,verdict_sonnet,verdict_openai,verdict_gemini,shared_clients,item_a_title,item_a_lede,item_a_published_at,item_b_title,item_b_lede,item_b_published_at,human_label
p0205,0.5519465804100037,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Toyota'],Japan Inc. Cashes in on Abenomics as Toyota Profit to Rise,"Japanese Prime Minister Shinzo Abe’s economic recovery plan is filling the coffers of manufacturers from Toyota Motor Corp. (7203) to Sony Corp. (6758) As the exporters prepare to announce first-quarter earnings this week, 14 of Japan ’s 27 largest are projected to beat their own full-year operating profit forecasts by 5 percent or more, according to data compiled by Bloomberg. Net income may surge 75 percent from a year earlier among companies that sell abroad and 33 percent at domestic-oriented firms, UBS AG said this month. Abe’s drive to end 15 years of deflation in Japan through monetary ",2013-07-29 08:38:55,Toyota Said to Prepare to Raise Output Target Above 10 Million,"Toyota Motor Corp. (7203) plans to produce more than 10 million vehicles this year, becoming the first carmaker to reach that milestone, according to two people familiar with the matter. Toyota and its subsidiaries expect combined output to climb to about 10.1 million vehicles in 2013, or 200,000 higher than previously forecast, said the people, who asked not to be identified because the plan hasn’t been made public. The new targets will be disclosed when the Toyota reports earnings Aug. 2, the people said. The projections illustrate the recovery of a company that’s battled through a recall cr",2013-07-31 02:45:01,
p0206,0.5799752473831177,"[0.55, 0.60)",,routed_to_human,UNCLEAR,UNCLEAR,DIFFERENT,['Ford'],Third Production Crew with 900 New U.S. Jobs Begins to Meet Surging Ford F-Series Demand,,2013-08-05 00:00:00,Ford to Honda Move to Boost Capacity as U.S. Sales Rise,"Automakers, enjoying the best U.S.
sales since 2007, this week disclosed plans to spend $434
million to boost their capacity to make vehicles and engines in
 North America . Ford Motor Co. (F) said it’s looking to squeeze more vehicles
out of every factory on the continent. Honda Motor Co. (7267) said
yesterday it will invest $215 million in Ohio , including about
$180 million at an engine plant, the Tokyo-based automaker said
in a statement . Chrysler Group LLC yesterday said it will add
capacity and almost 300 jobs at a Michigan engine plant. The carmakers are responding to increased sales, ",2013-08-07 22:15:47,
p0207,0.5685665607452393,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['IBM'],"IBM Research, CDC and PHDSC Enable Real-Time Reporting of Public Health Cases",,2012-08-16 00:00:00,IBM and Singapore Economic Development Board Collaborate to Launch Analytics-Based Supply Chain Center,,2012-08-16 00:00:00,
p0208,0.5764000415802002,"[0.55, 0.60)",DIFFERENT,2_of_3,UNCLEAR,DIFFERENT,DIFFERENT,['Apple'],Apple earnings the bright spot in tech sector: StarMine,,2012-01-23 00:00:00,Apple Reports First Quarter Results,,2012-01-24 00:00:00,
p0209,0.5553197860717773,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],REG-Morgan Stanley Early Repurchase,,2012-02-27 00:00:00,REG - Morgan Stanley SecsGlencore Inter - Form 8.5 (EPT/RI) Glencore Intl Plc,,2012-02-29 00:00:00,
p0210,0.5793890357017517,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG - AIM - Nomad Name Change - J.P. Morgan Securities Ltd,,2012-07-10 00:00:00,REG-J.P. Morgan Securities plc. Form 8.5 (EPT/RI) Cable & Wireless Worldwide Plc,,2012-07-11 00:00:00,
p0211,0.5997042655944824,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Verizon'],Verizon Combines Insane Internet Speeds With Sensible Value in New FiOS Bundles,,2012-06-18 00:00:00,"Verizon Wireless & Comcast Team Up in Michigan to Deliver First-class Video Entertainment, Communications and Internet Experiences",,2012-06-21 00:00:00,
p0212,0.5778028964996338,"[0.55, 0.60)",SAME,3_of_3,SAME,SAME,SAME,['Facebook'],UPDATE 5-Facebook smashes analyst targets but executive comments spook Street,,2013-10-30 00:00:00,Weil on Finance: Facebook's Wild Ride,"Happy Thursday, View fans. Here’s a look at some of my breakfast reading this morning. An after-hours roller coaster Facebook Inc. rose as much as 18 percent yesterday in extended trading after the company reported earnings -- and then gave it all up after executives’ remarks on the company’s conference call. Chief Financial Officer David Ebersman said news-feed advertisements, which had been a big revenue driver, won’t rise significantly. And younger teens aren’t using Facebook as much as they used to –- not cool. It’s a mo-mo market out there. The man behind the Justice Department’s bank law",2013-10-31 11:01:02,
p0213,0.5930405855178833,"[0.55, 0.60)",DIFFERENT,2_of_3,UNCLEAR,DIFFERENT,DIFFERENT,['JPMorgan'],JPMorgan directors knew of bad trades: report,,2012-06-11 00:00:00,How JPMorgan’s Added Risk Led to $2 Billion Loss: Timeline,"Jamie Dimon , chief executive officer
of JPMorgan Chase & Co. (JPM) , is scheduled to testify tomorrow before
Congress about the bank’s $2 billion loss on derivatives trading
at its chief investment office. Here’s a chronology of events
leading to the disclosure and the aftermath. Some dates are approximate and are subject to revision as
more information becomes available. 2004------------------------------------------------------- Nov. 13: JPMorgan completes takeover of Bank One Corp., run by
Jamie Dimon. He becomes CEO of JPMorgan the following year.
Global treasury unit, led by Ina Drew, is",2012-06-12 04:00:24,
p0214,0.5523717403411865,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['AT&T'],"AT&T; Invested Nearly $110 Million In Salt Lake City Area From 2010 Through 2012 To Enhance Speeds, Reliability And Performance For Customers",,2013-03-04 00:00:00,AT&T; 4G LTE Expands In Charlotte To Shelby And Lincolnton,,2013-03-07 00:00:00,
p0215,0.5760893821716309,"[0.55, 0.60)",SAME,2_of_3,SAME,SAME,DIFFERENT,['Apple'],Apple to Refresh IPads Amid Challenges for Tablet Share,"Apple Inc. (AAPL) is upgrading its iPad lineup to fend off a growing list of competitors, which are introducing their own tablets at lower prices with snazzier features. Chief Executive Officer Tim Cook will debut a high-definition iPad mini and a thinner iPad at a San Francisco event tomorrow, people with knowledge of the plans have said. Facing two straight quarters of declining profit and a stock that’s down by more than a quarter from a September 2012 record, Apple is facing a similar challenge with the iPad as it has with the iPhone, battling lower-cost rivals and proving that incremental",2013-10-21 04:01:00,"Apple unveils iPad Air, new Macs for holidays",,2013-10-22 00:00:00,
p0216,0.5514098405838013,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Google'],EU's Almunia sets deadline for Google antitrust plan,,2012-12-18 00:00:00,France extends deadline for publishers' talks with Google,,2012-12-21 00:00:00,
p0217,0.566642165184021,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Microsoft'],Microsoft announces Surface tablet,,2012-06-18 00:00:00,Acer slates Microsoft's hardware push,,2012-06-21 00:00:00,
p0218,0.5737763047218323,"[0.55, 0.60)",,routed_to_human,UNCLEAR,DIFFERENT,SAME,['Twitter'],Twitter to raise up to $1.44bln; Stocks gain,,2013-10-24 00:00:00,Twitter avoids Facebook IPO overreach â thus far,,2013-10-25 00:00:00,
p0219,0.5880049467086792,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Boeing'],Boeing Seeks Labor Peace in Deal to Keep 777X in Seattle,"Boeing Co. (BA) offered to build its
upgraded 777 twin-aisle jet in the Seattle area if members of
its largest union accept benefit cuts and a contract extension
that would ensure labor peace for the next decade. Ratification of the terms by Machinists union members would
cement a new working relationship between the planemaker and the
labor group after years of labor strife at Boeing’s commercial
hub in Washington ’s Puget Sound region. The proposal “means decades of economic activity for the
region and will anchor the next generation of wide-body aircraft
production right here in its histori",2013-11-06 14:50:31,"Washington state lawmakers pass tax breaks, aiming to win Boeing work",,2013-11-09 00:00:00,
p0220,0.5856665372848511,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG - JPMorgan Eur Small - Net Asset Value(s),,2012-01-03 00:00:00,REG-JPMorgan Asset Management Form 8.3 - Premier Oil Plc,,2012-01-04 00:00:00,
p0221,0.568126916885376,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Goldman Sachs'],Goldman loses co-head of commodity trade Shenouda: memo,,2013-10-29 00:00:00,"Top Goldman Asia banker Dees to take global, U.S.-based role-sources",,2013-11-01 00:00:00,
p0222,0.5583081841468811,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Apple'],Pegatron Says It Hasn’t Been Informed of Labor Inspections,"Pegatron Corp. (4938) , a maker of Apple
Inc. (AAPL) ’s iPhones, said it has been informed of pending inspections
of factory work conditions by a labor group. Pegatron’s Shanghai factory was told about the coming
inspection within the last two days and hasn’t been given a
schedule for the visit, Charles Lin, chief financial officer of
the Taipei-based company, said by telephone today. Earlier, Lin
had said the company wasn’t informed about the inspections. Apple said the Washington-based Fair Labor Association
began checks of working conditions at supplier Foxconn
Technology Group yesterday, a",2012-02-14 16:58:44,Foxconn Technology Group Raises Wages in China for Third Time Since 2010,"Foxconn Technology Group (FOXCGZ) , the
world’s biggest contract manufacturer of electronics including
 Apple Inc. (AAPL) ’s iPhone, raised the pay of its workers in China this
month, the third increase since 2010. Pay rose by 16 percent to 25 percent starting Feb. 1, the
company said in an e-mailed statement yesterday. The basic
monthly pay of a junior worker in Shenzhen has risen to 1,800
yuan ($290) from 900 yuan three years ago, it said. Foxconn will
raise monthly salaries to more than 2,200 yuan for workers who
pass technical examinations, it said. The announcement came after Apple said t",2012-02-17 16:16:26,
p0223,0.5578784942626953,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Apple'],"UPDATE 1-EU probes Motorola after Microsoft, Apple complaints",,2012-04-03 00:00:00,UPDATE 2-US court wary of Apple request to block Samsung,,2012-04-06 00:00:00,
p0224,0.5672414302825928,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['AT&T'],AT&T; U-verse Launches More Than 100 Live Channels On Smartphone And Tablet,,2013-10-07 00:00:00,"AT&T; Brings U-verse High-Speed Internet, TV and Voice Services to More Than 13,000 Additional Customer Locations in Sacramento Area",,2013-10-09 00:00:00,
p0225,0.578373372554779,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,"['Facebook', 'Microsoft']",Microsoft Joins Oracle as Computing Companies Fight Patent Suits,"The top lawyers for Microsoft Corp. (MSFT) 
and Oracle Corp. (ORCL) say a U.S. debate over rampant patent
litigation could endanger businesses that rely on such legal
protections for their innovative software. Companies including Google Inc. (GOOG) and Facebook Inc. (FB) have said
too many software patents are being used primarily to generate
lawsuits instead of contributing to new products and services.
While agreeing on that point, Microsoft, the world’s biggest
software maker, and Oracle say some demands for change go too
far in calling for strict limits or even the elimination of
patents o",2013-02-22 05:00:01,"Microsoft Joins Apple, Facebook as Target of Cyberattack","Microsoft Corp. (MSFT) , the largest
software maker, said a small number of its computers were
infected by malicious software in a cyberattack similar to those
experienced by Facebook Inc. (FB) and Apple Inc. (AAPL) There’s no evidence that customers were affected, Microsoft
said in a blog post yesterday. Some of the techniques were
similar to those documented by others, and the investigation is
ongoing, Microsoft said. The incident follows recent attacks that hit more than 40
companies, including microblogging service Twitter Inc., and
were linked to an Eastern European hacker gang trying to ",2013-02-23 05:01:00,
p0226,0.5742018222808838,"[0.55, 0.60)",SAME,2_of_3,UNCLEAR,SAME,SAME,['Apple'],"U.S. Day Ahead: With or without Einhorn, Apple eyes giveaway",,2013-02-07 00:00:00,Einhorn’s Call for Apple Preferred Bucks Trend: Chart of the Day,"David Einhorn’s call for Apple Inc.
to distribute preferred shares to the iPhone and iPad maker’s
investors is at odds with a growing tendency for companies to
shun this form of equity. As the CHART OF THE DAY illustrates, the number of
companies in the Standard & Poor’s 500 Index with preferred
stock outstanding fell in every year but one during the past
decade and a half. The exception was 2009, when several banks
sold the shares to raise funds after a financial crisis. Sixty-three companies in the S&P 500 have preferred stock,
according to data compiled by Bloomberg from their most recent
f",2013-02-08 05:00:01,
p0227,0.5589423179626465,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],JPMorgan to pay $150 mln over failed Sigma SIV,,2012-03-20 00:00:00,"Milan Settles Derivatives With UBS, Deutsche Bank, JPMorgan","JPMorgan Chase & Co. (JPM) , UBS AG (UBSN) ,
 Deutsche Bank AG (DBK) and Depfa Bank Plc agreed to unwind interest-
rate swaps with the city of Milan’s government in a 455 million-
euro ($600 million) transaction. Under the settlement, the banks, which are on trial for
fraud, closed the swaps today at a “positive” mark-to-market
for the city, according to an e-mailed statement from the
Italian municipality. The settlement isn’t for damages and doesn’t indicate any
acceptance of responsibility by the banks, according to the
statement. Milan agreed to drop claims for damages in the U.K.
and Italy",2012-03-22 17:10:04,
p0228,0.583036482334137,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],JPMorgan settles overdraft fee case for $110 million,,2012-02-06 00:00:00,JPMorgan Reaches Tentative Settlement in AFTRA Pension Suit,"JPMorgan Chase & Co. reached an
“agreement in principal” to settle a class action suit
claiming losses from the bank’s securities lending program. The suit was filed by three union pension funds, which
represented a class of all investors in a group of structured
debt securities. The settlement was to be announced on the
plaintiffs’ website, according to a statement provided today by
Stephanie Cirkovich, a spokeswoman for the federal court in
 Manhattan . “The parties are drafting a formal settlement agreement,
to be submitted to the court for approval within approximately
three weeks,” accord",2012-02-08 02:14:56,
p0229,0.5557448267936707,"[0.55, 0.60)",DIFFERENT,2_of_3,UNCLEAR,DIFFERENT,DIFFERENT,['Citigroup'],Citigroup Reports First Quarter 2012 Earnings Per Share1 of $0.95 -- $1.11 Excluding the Impact of Negative CVA/DVA2 And a Net Gain on Minority Investments3,,2012-04-16 00:00:00,"Citigroup May Wait for Capital Plan on Dividend, Buybacks","Citigroup Inc. (C) , the bank that’s
been paying a 1-cent quarterly dividend since last year, may
wait until it submits a 2013 capital plan to the Federal Reserve 
before seeking approval to boost the payout or buy back shares. “As we consider our resubmission for this year, we also
have to keep in mind that we will be submitting the 2013 capital
plan to the Fed a short time later,” Chief Executive Officer
 Vikram Pandit , 55, said today on a conference call with
analysts. “We’re having the conversations with the Fed which
will inform what we submit and what we ask for.” Pandit said the reques",2012-04-16 18:13:53,
p0230,0.5516631007194519,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Boeing'],Boeing 787 Delay Creates Qatar Airways Opening for Airbus,"Boeing Co (BA) .’s halt in delivering the 787 Dreamliner this year because of battery failures has created an opening for Airbus SAS to sell about $3.5 billion of A330 wide-body jets to Qatar Airways Ltd. The airline, which has five 787s, may order as many as 15 A330s as it waits for Boeing to hand over more Dreamliners, Chief Executive Officer Akbar Al Baker told reporters today at a conference in Dubai. The A330 has added sales amid the 787’s delays even though it lacks the Boeing plane’s range. Airbus will have to “sharpen their pencils” to clinch an order for more A330s, Al Baker said, sig",2013-05-06 20:20:27,"Alafco to Focus on Sale-Leasebacks for Growth, Chairman Says","Aviation Lease & Finance Co., a
Kuwaiti aircraft leasing company, will generally refrain from
buying new airliners until it gets the first of 117 planes
already on order in four years, its chairman said. Aviation Lease, known as Alafco, now has 49 planes
operating in its fleet. Until 2017, when Alfaco’s new Boeing Co. (BA) 
and Airbus SAS single-aisle planes start delivering, the company
will add to the portfolio only with occasional sale-leasebacks,
buying newly-delivered planes from airlines and leasing them
back, Chairman Ahmad Al-Zabin said. “We need to slow down now or stop rather, until ",2013-05-07 08:25:06,
